metric,value,v_0.01,v_0.05,v_0.1,v_0.5,v_0.9,v_0.95,v_0.99,v_total_hours,v_crossing_hours,v_crossing_pct,v_mean_crossing_magnitude_mw,v_max_crossing_magnitude_mw,v_pair_crossings,v_event_peak_mw,v_predicted_at_peak_mw,v_peak_error_mw,v_peak_error_pct,v_n_exceedances,v_exceedance_rate,v_n_runs,v_mean_exceedance_magnitude_mw,v_max_exceedance_magnitude_mw,v_longest_run_hours,v_24,v_48,v_72
label,LEGACY_RETROSPECTIVE_NOWCAST_DIAGNOSTIC,,,,,,,,,,,,,,,,,,,,,,,,,,
n_hours,8760,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_pinball_loss,153.34,,,,,,,,,,,,,,,,,,,,,,,,,,
quantile_crps_approximation,502.38,,,,,,,,,,,,,,,,,,,,,,,,,,
p90_coverage,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,
p90_width_mw,3269.8,,,,,,,,,,,,,,,,,,,,,,,,,,
p90_winkler,4626.98,,,,,,,,,,,,,,,,,,,,,,,,,,
p98_coverage,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,
p98_width_mw,6489.5,,,,,,,,,,,,,,,,,,,,,,,,,,
p98_winkler,7809.4,,,,,,,,,,,,,,,,,,,,,,,,,,
weighted_interval_score,5424.09,,,,,,,,,,,,,,,,,,,,,,,,,,
reliability_deviation,,0.0007305936073059363,0.003995433789954338,0.022602739726027388,-0.04965753424657532,-0.08778538812785386,-0.027968036529680274,-0.00666666666666671,,,,,,,,,,,,,,,,,,,
quantile_crossing,,,,,,,,,8760.0,0.0,0.0,0.0,0.0,"{'q01_q05': 0, 'q05_q10': 0, 'q10_q50': 0, 'q50_q90': 0, 'q90_q95': 0, 'q95_q99': 0}",,,,,,,,,,,,,
polar_vortex_pinball,473.28,,,,,,,,,,,,,,,,,,,,,,,,,,
polar_vortex_crps,1458.07,,,,,,,,,,,,,,,,,,,,,,,,,,
polar_vortex_p90_coverage,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,
polar_vortex_peak_error,,,,,,,,,,,,,,,140510.233,139584.71954983816,-925.513450161845,-0.66,,,,,,,,,
polar_vortex_q99_exceedance,,,,,,,,,,,,,,,,,,,11.0,15.28,4.0,1342.9,3487.8,2.0,,,
summer_peak_pinball,209.12,,,,,,,,,,,,,,,,,,,,,,,,,,
summer_peak_crps,685.03,,,,,,,,,,,,,,,,,,,,,,,,,,
summer_peak_p90_coverage,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,
summer_peak_peak_error,,,,,,,,,,,,,,,141677.933,140780.90765562165,-897.025344378344,-0.63,,,,,,,,,
summer_peak_q99_exceedance,,,,,,,,,,,,,,,,,,,5.0,6.94,4.0,316.6,897.0,2.0,,,
bootstrap_pinball_ci,,,,,,,,,,,,,,,,,,,,,,,,,"{'lower': 145.75143080635686, 'upper': 161.80705868648295, 'mean': 153.17337521887328, 'std': 4.123331382332378, 'ci_width': 16.05562788012608}","{'lower': 143.32280779839195, 'upper': 163.83455864572602, 'mean': 153.08791491307207, 'std': 5.363722392669402, 'ci_width': 20.51175084733407}","{'lower': 141.88241996838693, 'upper': 165.29724080640676, 'mean': 152.8068981398333, 'std': 5.940058330022539, 'ci_width': 23.414820838019835}"
