year,model,expected_hours,paired_hours,coverage_pct,mae_mw,rmse_mw,mean_error_mw,median_absolute_error_mw,p90_absolute_error_mw,p95_absolute_error_mw,normalized_mae_pct,max_underforecast_mw,max_overforecast_mw
2014,naive_7d,8760,8760,100.0,8008.5,10871.5,117.9,5775.3,18490.1,22695.4,8.8,41392.2,45064.3
2014,naive_latest,8760,8760,100.0,7739.6,10508.2,-7.0,5570.5,17474.6,21921.8,8.5,49446.4,47866.3
2014,ridge,8760,8760,100.0,5630.4,7341.8,2362.6,4443.1,12050.1,14976.6,6.18,27470.4,33260.3
2014,hist_gbr,8760,8760,100.0,4167.8,5748.2,-807.9,2902.1,9656.6,11989.7,4.58,34279.9,27090.4
2014,extra_trees,8760,8760,100.0,4146.5,5843.4,-508.5,2788.4,9781.3,12305.8,4.55,31666.3,24728.6
2015,naive_7d,8760,8760,100.0,8407.6,11233.7,162.4,6336.1,19025.3,23473.2,9.29,41536.3,37540.2
2015,naive_latest,8760,8760,100.0,7110.1,9508.9,67.8,5210.9,16263.5,20245.9,7.86,36638.5,33962.5
2015,ridge,8760,8760,100.0,5444.0,6949.2,1857.6,4387.8,11936.6,14116.7,6.02,25347.7,23630.5
2015,hist_gbr,8760,8760,100.0,3945.7,5579.0,-402.0,2754.4,8937.9,11940.0,4.36,32041.7,24483.6
2015,extra_trees,8760,8760,100.0,3886.5,5454.0,-335.9,2683.8,8934.1,11833.9,4.3,27730.0,23061.3
2016,naive_7d,8784,8784,100.0,8542.9,11539.6,-151.3,6487.3,19183.1,24268.1,9.47,43078.8,42137.1
2016,naive_latest,8784,8784,100.0,6857.0,9405.3,-31.8,4844.2,15558.3,19281.1,7.6,47296.4,34976.8
2016,ridge,8784,8784,100.0,5541.0,7137.8,1181.1,4428.2,11745.3,14392.0,6.14,30396.2,26422.2
2016,hist_gbr,8784,8784,100.0,4137.6,5617.7,-579.2,3026.4,9389.5,11731.6,4.59,35320.0,27248.3
2016,extra_trees,8784,8784,100.0,3857.2,5436.5,-240.6,2651.9,9114.2,11566.9,4.28,36687.5,22246.8
2017,naive_7d,8760,8760,100.0,8838.1,11753.3,-378.2,6834.8,19604.1,24373.9,10.01,46065.9,47525.4
2017,naive_latest,8760,8760,100.0,6791.6,9192.6,-78.5,5006.0,15121.4,18752.1,7.69,35263.4,41457.5
2017,ridge,8760,8760,100.0,5425.8,7028.0,723.7,4212.6,11805.1,14136.9,6.14,26375.5,26143.8
2017,hist_gbr,8760,8760,100.0,4121.3,5694.7,-476.7,2896.7,9533.6,12495.6,4.67,23107.5,23382.6
2017,extra_trees,8760,8760,100.0,3853.9,5368.8,-316.4,2668.6,9163.8,11787.5,4.36,24057.3,22768.2
2018,naive_7d,8760,8760,100.0,9085.9,12305.8,376.5,6514.4,20686.3,25677.6,9.87,55843.7,49053.2
2018,naive_latest,8760,8760,100.0,7280.7,9823.8,100.7,5402.4,15821.8,20280.0,7.91,43193.1,51084.1
2018,ridge,8760,8760,100.0,5637.9,7325.9,442.5,4501.8,11979.0,15033.3,6.12,35697.3,26856.7
2018,hist_gbr,8760,8760,100.0,4280.6,5770.2,35.4,3175.7,9446.1,12478.6,4.65,25512.7,25368.6
2018,extra_trees,8760,8760,100.0,4182.7,5746.1,-389.9,3004.4,9446.8,12598.8,4.54,26552.2,23409.9
2019,naive_7d,8760,8760,100.0,7661.0,10667.4,101.9,5360.4,17888.1,22519.2,8.53,42474.0,48802.0
2019,naive_latest,8760,8760,100.0,6564.2,8957.2,-2.4,4720.4,14540.7,18094.6,7.3,39691.7,41782.0
