event_id,model,expected_hours,model_hours,model_pjm_common_hours,mae_mw,rmse_mw,mean_error_mw,underforecast_hours,underforecast_pct,cumulative_underforecast_mwh,max_underforecast_mw,longest_underforecast_run_hours,actual_event_peak_mw,prediction_at_peak_mw,error_at_peak_mw,abs_error_at_peak_mw
E2014_PV1,naive_7d,72,72,63,24531.4,26409.2,-24531.4,72,100.0,1766262.5,41392.2,72,140510.2,109741.6,-30768.7,30768.7
E2014_PV1,naive_latest,72,72,63,17172.0,21090.2,-12823.1,48,66.7,1079826.3,36973.4,43,140510.2,107094.9,-33415.3,33415.3
E2014_PV1,ridge,72,72,63,13345.3,14803.5,-10600.0,60,83.3,862028.6,25022.2,60,140510.2,118969.5,-21540.7,21540.7
E2014_PV1,hist_gbr,72,72,63,12336.4,14763.1,-8089.6,51,70.8,735337.8,34279.9,51,140510.2,134366.7,-6143.5,6143.5
E2014_PV1,extra_trees,72,72,63,13685.1,16538.6,-11128.6,52,72.2,893290.3,31666.3,52,140510.2,121647.2,-18863.0,18863.0
E2015_COLD_anchor,naive_7d,24,24,24,14536.2,14755.6,-14536.2,24,100.0,348869.0,19075.7,24,143129.2,128760.7,-14368.5,14368.5
E2015_COLD_anchor,naive_latest,24,24,24,8727.6,9326.8,-8727.6,24,100.0,209463.2,14566.5,24,143129.2,133522.2,-9607.0,9607.0
E2015_COLD_anchor,ridge,24,24,24,8852.0,9029.8,-8852.0,24,100.0,212448.8,11419.2,24,143129.2,133327.7,-9801.5,9801.5
E2015_COLD_anchor,hist_gbr,24,24,24,2974.1,3407.3,-1974.2,18,75.0,59378.7,6487.0,13,143129.2,136960.4,-6168.9,6168.9
E2015_COLD_anchor,extra_trees,24,24,24,8711.4,9553.2,-8711.4,24,100.0,209074.4,14803.2,24,143129.2,128326.1,-14803.2,14803.2
E2018_SNAP,naive_7d,264,264,264,18822.8,20556.0,-18652.8,252,95.5,4946779.9,32833.0,166,137465.3,118264.7,-19200.6,19200.6
E2018_SNAP,naive_latest,264,264,264,6931.6,8180.3,-1902.6,159,60.2,1166106.2,16020.8,81,137465.3,125580.3,-11885.0,11885.0
E2018_SNAP,ridge,264,264,264,10157.4,11294.8,-9551.7,251,95.1,2601595.8,22523.1,166,137465.3,116018.7,-21446.6,21446.6
E2018_SNAP,hist_gbr,264,264,264,9296.0,11200.0,-8701.8,237,89.8,2375703.8,25512.7,101,137465.3,114775.4,-22689.9,22689.9
E2018_SNAP,extra_trees,264,264,264,8320.3,9961.1,-7808.6,237,89.8,2129024.6,20950.6,91,137465.3,116514.7,-20950.6,20950.6
E2022_ELLIOTT,naive_7d,96,96,96,16027.1,20303.2,-15923.0,87,90.6,1533604.5,35999.5,79,134699.1,103282.7,-31416.4,31416.4
E2022_ELLIOTT,naive_latest,96,96,96,15231.7,17713.1,-2705.5,40,41.7,860984.5,35478.9,40,134699.1,108841.7,-25857.4,25857.4
E2022_ELLIOTT,ridge,96,96,96,13381.7,16838.4,-9844.0,68,70.8,1114834.0,34812.6,62,134699.1,99886.5,-34812.6,34812.6
E2022_ELLIOTT,hist_gbr,96,96,96,11542.9,14788.3,-8722.5,65,67.7,972741.7,36184.8,55,134699.1,102141.5,-32557.6,32557.6
E2022_ELLIOTT,extra_trees,96,96,96,11540.3,15406.1,-9768.2,73,76.0,1022806.8,34759.5,59,134699.1,101266.7,-33432.4,33432.4
