timestamp_utc,timestamp_ept,temperature_f,wind_speed_mph,wind_chill_f,hdh,cdh
2010-01-01 00:00:00,2009-12-31 19:00:00,30.8,10.0,22.2,34.2,0
2010-01-01 01:00:00,2009-12-31 20:00:00,30.1,10.4,21.2,34.9,0
2010-01-01 02:00:00,2009-12-31 21:00:00,29.0,10.6,19.7,36.0,0
2010-01-01 03:00:00,2009-12-31 22:00:00,27.1,10.7,17.3,37.9,0
2010-01-01 04:00:00,2009-12-31 23:00:00,26.4,10.6,16.4,38.6,0
2010-01-01 05:00:00,2010-01-01 00:00:00,25.3,10.7,15.1,39.7,0
2010-01-01 06:00:00,2010-01-01 01:00:00,24.7,10.9,14.2,40.3,0
2010-01-01 07:00:00,2010-01-01 02:00:00,24.1,11.2,13.3,40.9,0
2010-01-01 08:00:00,2010-01-01 03:00:00,23.3,11.6,12.1,41.7,0
2010-01-01 09:00:00,2010-01-01 04:00:00,22.0,11.8,10.3,43.0,0
2010-01-01 10:00:00,2010-01-01 05:00:00,20.8,11.9,8.8,44.2,0
2010-01-01 11:00:00,2010-01-01 06:00:00,20.3,12.2,8.0,44.7,0
2010-01-01 12:00:00,2010-01-01 07:00:00,19.7,12.2,7.2,45.3,0
2010-01-01 13:00:00,2010-01-01 08:00:00,19.2,12.2,6.6,45.8,0
2010-01-01 14:00:00,2010-01-01 09:00:00,18.8,12.5,5.9,46.2,0
2010-01-01 15:00:00,2010-01-01 10:00:00,19.3,13.3,6.2,45.7,0
2010-01-01 16:00:00,2010-01-01 11:00:00,19.9,13.5,6.8,45.1,0
2010-01-01 17:00:00,2010-01-01 12:00:00,20.4,13.8,7.3,44.6,0
2010-01-01 18:00:00,2010-01-01 13:00:00,20.9,14.0,7.8,44.1,0
2010-01-01 19:00:00,2010-01-01 14:00:00,21.4,14.0,8.4,43.6,0
2010-01-01 20:00:00,2010-01-01 15:00:00,21.4,13.9,8.5,43.6,0
2010-01-01 21:00:00,2010-01-01 16:00:00,21.2,13.4,8.5,43.8,0
2010-01-01 22:00:00,2010-01-01 17:00:00,19.9,11.7,7.8,45.1,0
