forecast_hour_beginning_ept,forecast_hour_beginning_utc,evaluated_at_ept,day_ahead_forecast_mw
1/1/2014 10:00:00 AM,1/1/2014 3:00:00 PM,12/31/2013 9:45:00 AM,96918
1/1/2014 10:00:00 PM,1/2/2014 3:00:00 AM,12/31/2013 11:45:00 PM,96641
1/1/2014 11:00:00 AM,1/1/2014 4:00:00 PM,12/31/2013 11:45:00 AM,95974
1/1/2014 11:00:00 PM,1/2/2014 4:00:00 AM,12/31/2013 11:45:00 PM,91803
1/1/2014 12:00:00 AM,1/1/2014 5:00:00 AM,12/31/2013 5:45:00 AM,91696
1/1/2014 12:00:00 PM,1/1/2014 5:00:00 PM,12/31/2013 11:45:00 AM,94312
1/1/2014 1:00:00 AM,1/1/2014 6:00:00 AM,12/31/2013 5:45:00 AM,89295
1/1/2014 1:00:00 PM,1/1/2014 6:00:00 PM,12/31/2013 11:45:00 AM,92665
1/1/2014 2:00:00 AM,1/1/2014 7:00:00 AM,12/31/2013 5:45:00 AM,88215
1/1/2014 2:00:00 PM,1/1/2014 7:00:00 PM,12/31/2013 11:45:00 AM,91481
1/1/2014 3:00:00 AM,1/1/2014 8:00:00 AM,12/31/2013 5:45:00 AM,88125
1/1/2014 3:00:00 PM,1/1/2014 8:00:00 PM,12/31/2013 5:45:00 PM,91464
1/1/2014 4:00:00 AM,1/1/2014 9:00:00 AM,12/31/2013 5:45:00 AM,88986
1/1/2014 4:00:00 PM,1/1/2014 9:00:00 PM,12/31/2013 5:45:00 PM,94601
1/1/2014 5:00:00 AM,1/1/2014 10:00:00 AM,12/31/2013 5:45:00 AM,90955
1/1/2014 5:00:00 PM,1/1/2014 10:00:00 PM,12/31/2013 5:45:00 PM,102532
1/1/2014 6:00:00 AM,1/1/2014 11:00:00 AM,12/31/2013 5:45:00 AM,94054
1/1/2014 6:00:00 PM,1/1/2014 11:00:00 PM,12/31/2013 5:45:00 PM,105349
1/1/2014 7:00:00 AM,1/1/2014 12:00:00 PM,12/31/2013 5:45:00 AM,97102
1/1/2014 7:00:00 PM,1/2/2014 12:00:00 AM,12/31/2013 5:45:00 PM,105148
1/1/2014 8:00:00 AM,1/1/2014 1:00:00 PM,12/31/2013 9:45:00 AM,96155
1/1/2014 8:00:00 PM,1/2/2014 1:00:00 AM,12/31/2013 5:45:00 PM,104502
1/1/2014 9:00:00 AM,1/1/2014 2:00:00 PM,12/31/2013 9:45:00 AM,97007
1/1/2014 9:00:00 PM,1/2/2014 2:00:00 AM,12/31/2013 11:45:00 PM,100853
1/10/2014 10:00:00 AM,1/10/2014 3:00:00 PM,1/9/2014 9:45:00 AM,105973
1/10/2014 10:00:00 PM,1/11/2014 3:00:00 AM,1/9/2014 11:45:00 PM,96682
1/10/2014 11:00:00 AM,1/10/2014 4:00:00 PM,1/9/2014 11:45:00 AM,105093
1/10/2014 11:00:00 PM,1/11/2014 4:00:00 AM,1/9/2014 11:45:00 PM,91259
1/10/2014 12:00:00 AM,1/10/2014 5:00:00 AM,1/9/2014 5:45:00 AM,94371
1/10/2014 12:00:00 PM,1/10/2014 5:00:00 PM,1/9/2014 11:45:00 AM,103102
1/10/2014 1:00:00 AM,1/10/2014 6:00:00 AM,1/9/2014 5:45:00 AM,91817
1/10/2014 1:00:00 PM,1/10/2014 6:00:00 PM,1/9/2014 11:45:00 AM,101351
1/10/2014 2:00:00 AM,1/10/2014 7:00:00 AM,1/9/2014 5:45:00 AM,90625
1/10/2014 2:00:00 PM,1/10/2014 7:00:00 PM,1/9/2014 11:45:00 AM,99810
1/10/2014 3:00:00 AM,1/10/2014 8:00:00 AM,1/9/2014 5:45:00 AM,90377
1/10/2014 3:00:00 PM,1/10/2014 8:00:00 PM,1/9/2014 5:45:00 PM,99193
1/10/2014 4:00:00 AM,1/10/2014 9:00:00 AM,1/9/2014 5:45:00 AM,91947
1/10/2014 4:00:00 PM,1/10/2014 9:00:00 PM,1/9/2014 5:45:00 PM,101193
1/10/2014 5:00:00 AM,1/10/2014 10:00:00 AM,1/9/2014 5:45:00 AM,96378
1/10/2014 5:00:00 PM,1/10/2014 10:00:00 PM,1/9/2014 5:45:00 PM,106616
1/10/2014 6:00:00 AM,1/10/2014 11:00:00 AM,1/9/2014 5:45:00 AM,103781
1/10/2014 6:00:00 PM,1/10/2014 11:00:00 PM,1/9/2014 5:45:00 PM,107489
1/10/2014 7:00:00 AM,1/10/2014 12:00:00 PM,1/9/2014 5:45:00 AM,108433
1/10/2014 7:00:00 PM,1/11/2014 12:00:00 AM,1/9/2014 5:45:00 PM,105778
