datetime_beginning_utc,datetime_beginning_ept,source_year,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2010 5:00:00 AM,1/1/2010 12:00:00 AM,2010,RTO,RTO,RTO,RTO,74450.202,True
1/1/2010 6:00:00 AM,1/1/2010 1:00:00 AM,2010,RTO,RTO,RTO,RTO,72083.367,True
1/1/2010 7:00:00 AM,1/1/2010 2:00:00 AM,2010,RTO,RTO,RTO,RTO,70256.531,True
1/1/2010 8:00:00 AM,1/1/2010 3:00:00 AM,2010,RTO,RTO,RTO,RTO,69373.939,True
1/1/2010 9:00:00 AM,1/1/2010 4:00:00 AM,2010,RTO,RTO,RTO,RTO,69563.985,True
1/1/2010 10:00:00 AM,1/1/2010 5:00:00 AM,2010,RTO,RTO,RTO,RTO,70994.236,True
1/1/2010 11:00:00 AM,1/1/2010 6:00:00 AM,2010,RTO,RTO,RTO,RTO,72700.134,True
1/1/2010 12:00:00 PM,1/1/2010 7:00:00 AM,2010,RTO,RTO,RTO,RTO,74322.859,True
1/1/2010 1:00:00 PM,1/1/2010 8:00:00 AM,2010,RTO,RTO,RTO,RTO,75698.708,True
1/1/2010 2:00:00 PM,1/1/2010 9:00:00 AM,2010,RTO,RTO,RTO,RTO,78193.461,True
1/1/2010 3:00:00 PM,1/1/2010 10:00:00 AM,2010,RTO,RTO,RTO,RTO,80240.771,True
1/1/2010 4:00:00 PM,1/1/2010 11:00:00 AM,2010,RTO,RTO,RTO,RTO,80879.294,True
1/1/2010 5:00:00 PM,1/1/2010 12:00:00 PM,2010,RTO,RTO,RTO,RTO,80737.528,True
1/1/2010 6:00:00 PM,1/1/2010 1:00:00 PM,2010,RTO,RTO,RTO,RTO,80160.367,True
1/1/2010 7:00:00 PM,1/1/2010 2:00:00 PM,2010,RTO,RTO,RTO,RTO,79822.825,True
1/1/2010 8:00:00 PM,1/1/2010 3:00:00 PM,2010,RTO,RTO,RTO,RTO,80393.031,True
1/1/2010 9:00:00 PM,1/1/2010 4:00:00 PM,2010,RTO,RTO,RTO,RTO,83169.432,True
1/1/2010 10:00:00 PM,1/1/2010 5:00:00 PM,2010,RTO,RTO,RTO,RTO,89005.158,True
1/1/2010 11:00:00 PM,1/1/2010 6:00:00 PM,2010,RTO,RTO,RTO,RTO,90453.745,True
1/2/2010 12:00:00 AM,1/1/2010 7:00:00 PM,2010,RTO,RTO,RTO,RTO,90098.175,True
1/2/2010 1:00:00 AM,1/1/2010 8:00:00 PM,2010,RTO,RTO,RTO,RTO,89446.271,True
1/2/2010 2:00:00 AM,1/1/2010 9:00:00 PM,2010,RTO,RTO,RTO,RTO,88065.890,True
1/2/2010 3:00:00 AM,1/1/2010 10:00:00 PM,2010,RTO,RTO,RTO,RTO,85433.767,True
1/2/2010 4:00:00 AM,1/1/2010 11:00:00 PM,2010,RTO,RTO,RTO,RTO,82054.307,True
1/2/2010 5:00:00 AM,1/2/2010 12:00:00 AM,2010,RTO,RTO,RTO,RTO,78978.527,True
1/2/2010 6:00:00 AM,1/2/2010 1:00:00 AM,2010,RTO,RTO,RTO,RTO,77092.200,True
1/2/2010 7:00:00 AM,1/2/2010 2:00:00 AM,2010,RTO,RTO,RTO,RTO,76227.631,True
1/2/2010 8:00:00 AM,1/2/2010 3:00:00 AM,2010,RTO,RTO,RTO,RTO,76360.241,True
1/2/2010 9:00:00 AM,1/2/2010 4:00:00 AM,2010,RTO,RTO,RTO,RTO,77204.604,True
1/2/2010 10:00:00 AM,1/2/2010 5:00:00 AM,2010,RTO,RTO,RTO,RTO,79183.006,True
1/2/2010 11:00:00 AM,1/2/2010 6:00:00 AM,2010,RTO,RTO,RTO,RTO,82285.881,True
1/2/2010 12:00:00 PM,1/2/2010 7:00:00 AM,2010,RTO,RTO,RTO,RTO,85431.610,True
1/2/2010 1:00:00 PM,1/2/2010 8:00:00 AM,2010,RTO,RTO,RTO,RTO,88316.554,True
