model,window,n,mae,rmse,mape,bias,max_underpred,max_overpred
Persistence-1h,Full-year 2014,8760,2745.442181963467,3541.84007210253,3.0811868382542724,0.22411278538812818,10713.513999999996,-10661.885999999999
Naive-24h,Full-year 2014,8760,5959.584686073057,8105.101437136894,6.460173089160608,6.017087671232883,36973.359,-34383.723
Naive-168h,Full-year 2014,8760,8008.535243378997,10871.49630371288,8.550407566454325,-117.94592945205548,41392.236999999994,-45064.34300000001
Linear,Full-year 2014,8760,2353.9428350122553,3027.1018288718938,2.6160603249839425,259.0223164730122,12625.903404376484,-9127.01916770819
GBoost,Full-year 2014,8760,720.8634568654691,993.5517828061334,0.7710867328025264,50.41966825611741,6386.812671855412,-6878.8828047478455
Persistence-1h,Jan 6-8 2014,72,2804.7441250000006,3564.5256018350337,2.365399189483645,242.72306944444426,8647.671000000002,-6486.78899999999
Naive-24h,Jan 6-8 2014,72,15598.485624999998,18645.489931080185,12.767984135990934,8138.4872916666645,36973.359,-14854.33600000001
Naive-168h,Jan 6-8 2014,72,24531.423111111115,26409.233444510148,19.846216565420306,24531.423111111115,41392.236999999994,5589.401000000013
Linear,Jan 6-8 2014,72,4248.305196067813,5099.8313654155,3.512576468900478,2763.2280147176166,12625.903404376484,-5539.614550539307
GBoost,Jan 6-8 2014,72,1705.1695762294025,2036.562045226923,1.4172635497077009,-105.78933360418058,4984.553163154182,-4169.935083612159
PJM Day-Ahead,Full-year 2014 (n=8760),8760,1937.0462682648379,2563.1648024274596,2.1208620569605663,-1002.043749771692,8865.400999999998,-15339.210999999996
PJM Day-Ahead,Jan 6-8 2014 (n=72),72,3147.713097222222,3809.225919694105,2.576360186963937,2402.483791666669,6864.707999999999,-6611.244000000006
