timestamp_ept,actual_load_mw,day_ahead_forecast_mw,temperature_f,wind_chill_f,hdh,cdh
1/5/2014 12:00:00 AM,93565.922,93058.0,30.5,23.4,34.5,0
1/5/2014 1:00:00 AM,90837.982,90441.0,30.5,23.5,34.5,0
1/5/2014 2:00:00 AM,89143.401,89151.0,30.3,23.5,34.7,0
1/5/2014 3:00:00 AM,88219.044,88718.0,30.4,23.9,34.6,0
1/5/2014 4:00:00 AM,88137.311,88970.0,30.2,23.9,34.8,0
1/5/2014 5:00:00 AM,89157.683,90044.0,29.7,23.9,35.3,0
1/5/2014 6:00:00 AM,91258.336,91810.0,29.6,23.5,35.4,0
1/5/2014 7:00:00 AM,93885.063,94532.0,29.7,23.2,35.3,0
1/5/2014 8:00:00 AM,96034.405,95835.0,29.8,22.8,35.2,0
1/5/2014 9:00:00 AM,97815.048,97239.0,30.0,22.6,35.0,0
1/5/2014 10:00:00 AM,98432.731,96877.0,30.6,23.0,34.4,0
1/5/2014 11:00:00 AM,98189.475,96031.0,31.1,23.7,33.9,0
1/5/2014 12:00:00 PM,98137.020,94996.0,31.6,24.1,33.4,0
1/5/2014 1:00:00 PM,97553.448,93610.0,31.7,23.6,33.3,0
1/5/2014 2:00:00 PM,97037.810,92535.0,31.8,23.1,33.2,0
1/5/2014 3:00:00 PM,97171.263,92654.0,31.6,22.3,33.4,0
1/5/2014 4:00:00 PM,100019.566,95434.0,31.3,21.6,33.7,0
1/5/2014 5:00:00 PM,105903.865,101836.0,30.3,20.3,34.7,0
1/5/2014 6:00:00 PM,107094.888,104371.0,29.6,19.1,35.4,0
1/5/2014 7:00:00 PM,105407.017,103793.0,29.1,17.8,35.9,0
1/5/2014 8:00:00 PM,103217.080,102954.0,28.3,16.3,36.7,0
1/5/2014 9:00:00 PM,98927.982,100421.0,27.5,15.0,37.5,0
1/5/2014 10:00:00 PM,94087.820,95975.0,26.3,13.1,38.7,0
1/5/2014 11:00:00 PM,89198.695,91003.0,25.3,11.5,39.7,0
1/6/2014 12:00:00 AM,85504.657,85288.0,23.6,9.1,41.4,0
1/6/2014 1:00:00 AM,83522.058,83361.0,21.4,6.0,43.6,0
1/6/2014 2:00:00 AM,82637.689,82739.0,18.9,2.6,46.1,0
1/6/2014 3:00:00 AM,83287.857,83270.0,16.1,-1.1,48.9,0
1/6/2014 4:00:00 AM,85374.475,85215.0,13.1,-4.8,51.9,0
1/6/2014 5:00:00 AM,90889.688,90179.0,9.1,-9.4,55.9,0
1/6/2014 6:00:00 AM,99324.883,97389.0,7.4,-11.8,57.6,0
1/6/2014 7:00:00 AM,105683.549,103824.0,5.4,-14.6,59.6,0
1/6/2014 8:00:00 AM,107239.280,106669.0,3.8,-16.9,61.2,0
1/6/2014 9:00:00 AM,108904.523,108611.0,1.7,-19.9,63.3,0
1/6/2014 10:00:00 AM,110740.238,109739.0,-0.7,-23.4,65.7,0
1/6/2014 11:00:00 AM,111981.587,109938.0,-1.6,-24.9,66.6,0
1/6/2014 12:00:00 PM,112684.155,109531.0,-2.9,-26.8,67.9,0
1/6/2014 1:00:00 PM,112620.486,109269.0,-3.9,-28.3,68.9,0
1/6/2014 2:00:00 PM,112289.285,108654.0,-4.7,-29.3,69.7,0
1/6/2014 3:00:00 PM,113163.450,109834.0,-5.5,-30.2,70.5,0
1/6/2014 4:00:00 PM,117184.429,112978.0,-6.5,-31.4,71.5,0
1/6/2014 5:00:00 PM,125832.100,120573.0,-8.2,-32.0,73.2,0
1/6/2014 6:00:00 PM,130536.994,125365.0,-9.1,-33.6,74.1,0
1/6/2014 7:00:00 PM,131141.653,126603.0,-9.7,-34.7,74.7,0
