timestamp_utc,timestamp_ept,actual_load_mw,temperature_f,wind_speed_mph,wind_chill_f,hdh,cdh
1/6/2014 5:00:00 AM,1/6/2014 12:00:00 AM,85504.657,23.6,19.8,9.1,41.4,0
1/6/2014 6:00:00 AM,1/6/2014 1:00:00 AM,83522.058,21.4,20.4,6.0,43.6,0
1/6/2014 7:00:00 AM,1/6/2014 2:00:00 AM,82637.689,18.9,20.4,2.6,46.1,0
1/6/2014 8:00:00 AM,1/6/2014 3:00:00 AM,83287.857,16.1,20.4,-1.1,48.9,0
1/6/2014 9:00:00 AM,1/6/2014 4:00:00 AM,85374.475,13.1,20.0,-4.8,51.9,0
1/6/2014 10:00:00 AM,1/6/2014 5:00:00 AM,90889.688,9.1,18.5,-9.4,55.9,0
1/6/2014 11:00:00 AM,1/6/2014 6:00:00 AM,99324.883,7.4,18.8,-11.8,57.6,0
1/6/2014 12:00:00 PM,1/6/2014 7:00:00 AM,105683.549,5.4,19.3,-14.6,59.6,0
1/6/2014 1:00:00 PM,1/6/2014 8:00:00 AM,107239.280,3.8,19.7,-16.9,61.2,0
1/6/2014 2:00:00 PM,1/6/2014 9:00:00 AM,108904.523,1.7,20.4,-19.9,63.3,0
1/6/2014 3:00:00 PM,1/6/2014 10:00:00 AM,110740.238,-0.7,20.9,-23.4,65.7,0
1/6/2014 4:00:00 PM,1/6/2014 11:00:00 AM,111981.587,-1.6,21.6,-24.9,66.6,0
1/6/2014 5:00:00 PM,1/6/2014 12:00:00 PM,112684.155,-2.9,22.1,-26.8,67.9,0
1/6/2014 6:00:00 PM,1/6/2014 1:00:00 PM,112620.486,-3.9,22.4,-28.3,68.9,0
1/6/2014 7:00:00 PM,1/6/2014 2:00:00 PM,112289.285,-4.7,22.4,-29.3,69.7,0
1/6/2014 8:00:00 PM,1/6/2014 3:00:00 PM,113163.450,-5.5,22.1,-30.2,70.5,0
1/6/2014 9:00:00 PM,1/6/2014 4:00:00 PM,117184.429,-6.5,21.8,-31.4,71.5,0
1/6/2014 10:00:00 PM,1/6/2014 5:00:00 PM,125832.100,-8.2,18.5,-32.0,73.2,0
1/6/2014 11:00:00 PM,1/6/2014 6:00:00 PM,130536.994,-9.1,19.5,-33.6,74.1,0
1/7/2014 12:00:00 AM,1/6/2014 7:00:00 PM,131141.653,-9.7,20.0,-34.7,74.7,0
1/7/2014 1:00:00 AM,1/6/2014 8:00:00 PM,130559.635,-10.1,20.2,-35.3,75.1,0
1/7/2014 2:00:00 AM,1/6/2014 9:00:00 PM,128841.202,-10.3,20.0,-35.4,75.3,0
1/7/2014 3:00:00 AM,1/6/2014 10:00:00 PM,125687.972,-10.7,19.9,-36.0,75.7,0
