timestamp_utc,timestamp_ept,source_year,actual_load_mw,hour,day_of_week,month,is_weekend,load_lag_1h,load_lag_24h,load_lag_168h,rolling_mean_24h,rolling_mean_168h,t_f,wc_f,ws,hdh,cdh
1/8/2010 5:00:00 AM,1/8/2010 12:00:00 AM,2010,82296.633,0,4,1,0,86140.578,84497.975,74450.202,93707.45558333333,92728.49595238094,18.0,7.6,8.3,47.0,0.0
1/8/2010 6:00:00 AM,1/8/2010 1:00:00 AM,2010,80295.626,1,4,1,0,82296.633,82540.184,72083.367,93615.73300000001,92775.2008988095,17.9,7.0,8.9,47.1,0.0
1/8/2010 7:00:00 AM,1/8/2010 2:00:00 AM,2010,79562.935,2,4,1,0,80295.626,81848.397,70256.531,93522.20974999998,92824.08339285712,17.9,6.7,9.4,47.1,0.0
1/8/2010 8:00:00 AM,1/8/2010 3:00:00 AM,2010,80010.309,3,4,1,0,79562.935,81925.198,69373.939,93426.98216666665,92879.47865476189,17.6,5.9,9.9,47.4,0.0
1/8/2010 9:00:00 AM,1/8/2010 4:00:00 AM,2010,82062.711,4,4,1,0,80010.309,83737.593,69563.985,93347.19512500001,92942.79038095237,17.5,5.4,10.5,47.5,0.0
1/8/2010 10:00:00 AM,1/8/2010 5:00:00 AM,2010,86632.705,5,4,1,0,82062.711,89016.616,70994.236,93277.408375,93017.1875595238,16.9,4.8,10.3,48.1,0.0
1/8/2010 11:00:00 AM,1/8/2010 6:00:00 AM,2010,93815.103,6,4,1,0,86632.705,97059.413,72700.134,93178.07875,93110.2736845238,17.4,5.1,10.8,47.6,0.0
1/8/2010 12:00:00 PM,1/8/2010 7:00:00 AM,2010,99041.777,7,4,1,0,93815.103,101713.966,74322.859,93042.89916666667,93235.95802380952,17.6,5.2,11.0,47.4,0.0
1/8/2010 1:00:00 PM,1/8/2010 8:00:00 AM,2010,100621.542,8,4,1,0,99041.777,100960.541,75698.708,92931.55795833335,93383.09444047618,18.0,5.8,11.0,47.0,0.0
1/8/2010 2:00:00 PM,1/8/2010 9:00:00 AM,2010,100511.171,9,4,1,0,100621.542,99077.684,78193.461,92917.433,93531.44464285714,18.4,6.3,11.0,46.6,0.0
1/8/2010 3:00:00 PM,1/8/2010 10:00:00 AM,2010,100277.827,10,4,1,0,100511.171,97746.385,80240.771,92977.161625,93664.28815476189,19.6,7.7,11.1,45.4,0.0
1/8/2010 4:00:00 PM,1/8/2010 11:00:00 AM,2010,99810.828,11,4,1,0,100277.827,96211.473,80879.294,93082.63837500002,93783.55634523809,20.1,8.2,11.2,44.9,0.0
1/8/2010 5:00:00 PM,1/8/2010 12:00:00 PM,2010,98959.521,12,4,1,0,99810.828,94750.664,80737.528,93232.6115,93896.24404761904,21.2,9.5,11.3,43.8,0.0
1/8/2010 6:00:00 PM,1/8/2010 1:00:00 PM,2010,97750.737,13,4,1,0,98959.521,93567.212,80160.367,93407.98054166663,94004.70829166665,21.5,9.8,11.5,43.5,0.0
1/8/2010 7:00:00 PM,1/8/2010 2:00:00 PM,2010,96680.847,14,4,1,0,97750.737,92694.469,79822.825,93582.29408333333,94109.412875,21.3,9.6,11.6,43.7,0.0
1/8/2010 8:00:00 PM,1/8/2010 3:00:00 PM,2010,96777.791,15,4,1,0,96680.847,92712.254,80393.031,93748.39316666666,94209.75824404761,21.8,10.1,11.6,43.2,0.0
1/8/2010 9:00:00 PM,1/8/2010 4:00:00 PM,2010,99379.469,16,4,1,0,96777.791,95399.627,83169.432,93917.79054166663,94307.28657738095,21.5,10.0,11.3,43.5,0.0
1/8/2010 10:00:00 PM,1/8/2010 5:00:00 PM,2010,105345.054,17,4,1,0,99379.469,101727.001,89005.158,94083.61729166667,94403.77489285714,21.5,11.5,8.8,43.5,0.0
1/8/2010 11:00:00 PM,1/8/2010 6:00:00 PM,2010,106990.86,18,4,1,0,105345.054,103911.736,90453.745,94234.36949999999,94501.03617857143,21.2,10.8,9.3,43.8,0.0
1/9/2010 12:00:00 AM,1/8/2010 7:00:00 PM,2010,105609.197,19,4,1,0,106990.86,102929.731,90098.175,94362.66633333331,94599.47138690476,21.0,10.1,9.9,44.0,0.0
1/9/2010 1:00:00 AM,1/8/2010 8:00:00 PM,2010,103750.838,20,4,1,0,105609.197,100801.078,89446.271,94474.31075,94691.79889880952,20.7,9.7,10.0,44.3,0.0
1/9/2010 2:00:00 AM,1/8/2010 9:00:00 PM,2010,100605.813,21,4,1,0,103750.838,96722.446,88065.89,94597.21741666667,94776.94513095239,20.1,8.9,10.1,44.9,0.0
1/9/2010 3:00:00 AM,1/8/2010 10:00:00 PM,2010,96193.294,22,4,1,0,100605.813,91286.713,85433.767,94759.024375,94851.5875297619,19.3,8.1,9.8,45.7,0.0
1/9/2010 4:00:00 AM,1/8/2010 11:00:00 PM,2010,91445.044,23,4,1,0,96193.294,86140.578,82054.307,94963.46525,94915.63233333333,19.0,8.1,9.4,46.0,0.0
1/9/2010 5:00:00 AM,1/9/2010 12:00:00 AM,2010,87583.259,0,5,1,1,91445.044,82296.633,78978.527,95184.48466666666,94971.52957738095,18.1,7.2,8.9,46.9,0.0
1/9/2010 6:00:00 AM,1/9/2010 1:00:00 AM,2010,85472.436,1,5,1,1,87583.259,80295.626,77092.2,95404.76075000002,95022.74822023809,17.5,6.7,8.7,47.5,0.0
1/9/2010 7:00:00 AM,1/9/2010 2:00:00 AM,2010,84227.022,2,5,1,1,85472.436,79562.935,76227.631,95620.46116666669,95072.63057738096,16.8,6.0,8.4,48.2,0.0
1/9/2010 8:00:00 AM,1/9/2010 3:00:00 AM,2010,83990.969,3,5,1,1,84227.022,80010.309,76360.241,95814.79812500002,95120.24600000001,16.2,5.4,8.2,48.8,0.0
1/9/2010 9:00:00 AM,1/9/2010 4:00:00 AM,2010,84521.076,4,5,1,1,83990.969,82062.711,77204.604,95980.65895833333,95165.667,15.6,4.9,8.0,49.4,0.0
1/9/2010 10:00:00 AM,1/9/2010 5:00:00 AM,2010,86384.541,5,5,1,1,84521.076,86632.705,79183.006,96083.09083333334,95209.21742857143,14.9,5.0,6.9,50.1,0.0
1/9/2010 11:00:00 AM,1/9/2010 6:00:00 AM,2010,89359.009,6,5,1,1,86384.541,93815.103,82285.881,96072.7506666667,95252.08370833335,14.2,3.9,7.1,50.8,0.0
1/9/2010 12:00:00 PM,1/9/2010 7:00:00 AM,2010,92483.97,7,5,1,1,89359.009,99041.777,85431.61,95887.08008333335,95294.18566071431,13.5,3.1,7.1,51.5,0.0
1/9/2010 1:00:00 PM,1/9/2010 8:00:00 AM,2010,94708.7,8,5,1,1,92483.97,100621.542,88316.554,95613.838125,95336.16399404765,13.0,2.4,7.2,52.0,0.0
1/9/2010 2:00:00 PM,1/9/2010 9:00:00 AM,2010,95797.068,9,5,1,1,94708.7,100511.171,90824.375,95367.46970833333,95374.21248214289,13.0,2.4,7.3,52.0,0.0
1/9/2010 3:00:00 PM,1/9/2010 10:00:00 AM,2010,95365.308,10,5,1,1,95797.068,100277.827,91994.577,95171.04875000002,95403.81184523813,15.0,4.7,7.5,50.0,0.0
1/9/2010 4:00:00 PM,1/9/2010 11:00:00 AM,2010,93498.059,11,5,1,1,95365.308,99810.828,91929.955,94966.36045833335,95423.87572023812,16.4,6.4,7.3,48.6,0.0
1/9/2010 5:00:00 PM,1/9/2010 12:00:00 PM,2010,91196.987,12,5,1,1,93498.059,98959.521,91273.646,94703.32841666667,95433.20967261908,18.0,8.5,7.2,47.0,0.0
1/9/2010 6:00:00 PM,1/9/2010 1:00:00 PM,2010,89135.655,13,5,1,1,91196.987,97750.737,90455.706,94379.8895,95432.75336904766,18.4,9.1,7.1,46.6,0.0
1/9/2010 7:00:00 PM,1/9/2010 2:00:00 PM,2010,87748.794,14,5,1,1,89135.655,96680.847,89878.527,94020.92775000002,95424.89592261908,18.7,9.6,6.9,46.3,0.0
1/9/2010 8:00:00 PM,1/9/2010 3:00:00 PM,2010,87752.556,15,5,1,1,87748.794,96777.791,90446.866,93648.758875,95412.21894047622,19.1,10.1,6.9,45.9,0.0
1/9/2010 9:00:00 PM,1/9/2010 4:00:00 PM,2010,90594.245,16,5,1,1,87752.556,99379.469,93890.956,93272.70741666666,95396.1813809524,19.4,10.6,6.7,45.6,0.0
1/9/2010 10:00:00 PM,1/9/2010 5:00:00 PM,2010,96775.685,17,5,1,1,90594.245,105345.054,100991.009,92906.65641666665,95376.5581011905,16.8,8.5,5.6,48.2,0.0
1/9/2010 11:00:00 PM,1/9/2010 6:00:00 PM,2010,99736.385,18,5,1,1,96775.685,106990.86,103591.907,92549.59937499999,95351.46688690479,16.0,6.9,6.3,49.0,0.0
1/10/2010 12:00:00 AM,1/9/2010 7:00:00 PM,2010,99250.744,19,5,1,1,99736.385,105609.197,103356.217,92247.32958333334,95328.5173511905,14.8,5.2,6.6,50.2,0.0
1/10/2010 1:00:00 AM,1/9/2010 8:00:00 PM,2010,98224.769,20,5,1,1,99250.744,103750.838,102462.151,91982.39404166666,95304.08001190479,14.3,4.4,6.8,50.7,0.0
1/10/2010 2:00:00 AM,1/9/2010 9:00:00 PM,2010,96047.013,21,5,1,1,98224.769,100605.813,100679.373,91752.14116666668,95278.85750000003,13.1,2.9,6.8,51.9,0.0
1/10/2010 3:00:00 AM,1/9/2010 10:00:00 PM,2010,93062.147,22,5,1,1,96047.013,96193.294,97379.855,91562.19116666664,95251.28392857146,11.7,1.3,6.7,53.3,0.0
