year,expected_utc_hours,raw_RTO_rows,unique_utc_hours,exact_duplicate_rows,conflicting_duplicate_rows,missing_utc_hours,null_load_rows,negative_load_rows,first_timestamp_utc,last_timestamp_utc,status
2010,8760,8760,8760,0,0,0,0,0,2010-01-01 05:00:00,2011-01-01 04:00:00,OK
2011,8760,8760,8760,0,0,0,0,0,2011-01-01 05:00:00,2012-01-01 04:00:00,OK
2012,8784,8784,8784,0,0,0,0,0,2012-01-01 05:00:00,2013-01-01 04:00:00,OK
2013,8760,8760,8760,0,0,0,0,0,2013-01-01 05:00:00,2014-01-01 04:00:00,OK
2014,8760,8760,8760,0,0,0,0,0,2014-01-01 05:00:00,2015-01-01 04:00:00,OK
2015,8760,8760,8760,0,0,0,0,0,2015-01-01 05:00:00,2016-01-01 04:00:00,OK
2016,8784,8784,8784,0,0,0,0,0,2016-01-01 05:00:00,2017-01-01 04:00:00,OK
2017,8760,8760,8760,0,0,0,0,0,2017-01-01 05:00:00,2018-01-01 04:00:00,OK
2018,8760,8760,8760,0,0,0,0,0,2018-01-01 05:00:00,2019-01-01 04:00:00,OK
2019,8760,8760,8760,0,0,0,0,0,2019-01-01 05:00:00,2020-01-01 04:00:00,OK
2020,8784,8784,8784,0,0,0,0,0,2020-01-01 05:00:00,2021-01-01 04:00:00,OK
2021,8760,8760,8760,0,0,0,0,0,2021-01-01 05:00:00,2022-01-01 04:00:00,OK
2022,8760,8760,8760,0,0,0,0,0,2022-01-01 05:00:00,2023-01-01 04:00:00,OK
