year,expected_operating_days,qualifying_operating_days,expected_target_hours,paired_target_hours,missing_forecast_hours,incomplete_latest_vintage_days,older_vintage_fallback_days,excluded_days,median_vintage_age_hours,p95_vintage_age_hours,max_vintage_age_hours,no_eligible_days
2010,365,0,8760,0,8760,0,0,365,,,,365
2011,365,0,8760,0,8760,0,0,365,,,,365
2012,366,0,8784,0,8784,0,0,366,,,,366
2013,365,0,8760,0,8760,0,0,365,,,,365
2014,365,0,8760,7623,1137,2,0,365,16.0,17.0,17.0,0
2015,365,364,8760,8759,1,0,0,1,0.2,0.2,0.2,0
2016,366,365,8784,8783,1,1,1,1,0.2,2.2,2.2,0
2017,365,364,8760,8736,24,1,0,1,0.2,0.2,0.2,0
2018,365,364,8760,8736,24,1,0,1,0.2,0.2,12.2,0
2019,365,364,8760,8736,24,1,0,1,0.2,0.2,12.2,0
2020,366,365,8784,8760,24,1,0,1,0.2,0.2,12.2,0
2021,365,364,8760,8736,24,1,0,1,0.2,0.2,12.2,0
2022,365,363,8760,8712,48,2,0,2,0.2,0.2,12.2,0
