method,scope,coverage,n
EMP_RESID_HOUR,annual,0.8820733191359903,78888
EMP_RESID_HOUR,E2014_PV1,0.3333333333333333,72
EMP_RESID_HOUR,E2018_SNAP,0.5871212121212122,264
EMP_RESID_HOUR,E2022_ELLIOTT,0.5208333333333334,96
QHGBR_RAW,annual,0.7955075550147044,78888
QHGBR_RAW,E2014_PV1,0.3055555555555556,72
QHGBR_RAW,E2018_SNAP,0.5909090909090909,264
QHGBR_RAW,E2022_ELLIOTT,0.5104166666666666,96
QHGBR_REARRANGED,annual,0.8017062164080722,78888
QHGBR_REARRANGED,E2014_PV1,0.3055555555555556,72
QHGBR_REARRANGED,E2018_SNAP,0.5795454545454546,264
QHGBR_REARRANGED,E2022_ELLIOTT,0.5104166666666666,96
