method,metric,block_length,mean,ci_lower,ci_upper
EMP_RESID_HOUR,MAE_median_abs,24,4007.5511405856732,3916.950616796554,4102.523219618196
EMP_RESID_HOUR,MAE_median_abs,48,4010.0276433632935,3902.559600223245,4115.055685197997
EMP_RESID_HOUR,MAE_median_abs,72,4007.2755946357493,3884.597007627241,4132.658570372313
EMP_RESID_HOUR,coverage90_E2014_PV1,0,0.30612244897959184,,
EMP_RESID_HOUR,coverage90_E2018_SNAP,0,0.5933609958506224,,
EMP_RESID_HOUR,coverage90_E2022_ELLIOTT,0,0.3972602739726027,,
QHGBR_RAW,MAE_median_abs,24,3993.7714560535196,3905.6763190917795,4085.139277151435
QHGBR_RAW,MAE_median_abs,48,3995.9175602309183,3883.4770448608397,4103.078991514612
QHGBR_RAW,MAE_median_abs,72,3992.693180547621,3868.6729745945577,4118.443639888779
QHGBR_RAW,coverage90_E2014_PV1,0,0.24489795918367346,,
QHGBR_RAW,coverage90_E2018_SNAP,0,0.5933609958506224,,
QHGBR_RAW,coverage90_E2022_ELLIOTT,0,0.4383561643835616,,
QHGBR_REARRANGED,MAE_median_abs,24,3981.4015855429057,3893.501923739797,4073.0235938321302
QHGBR_REARRANGED,MAE_median_abs,48,3983.5329412965784,3869.6016425714697,4091.0290557789167
QHGBR_REARRANGED,MAE_median_abs,72,3980.3056844800785,3856.737380288749,4106.692010945375
QHGBR_REARRANGED,coverage90_E2014_PV1,0,0.24489795918367346,,
QHGBR_REARRANGED,coverage90_E2018_SNAP,0,0.5809128630705395,,
QHGBR_REARRANGED,coverage90_E2022_ELLIOTT,0,0.4383561643835616,,
