station_id,variable,value,forecast_hour,valid_time
Baltimore_Washington_MD,sp,101097.90000000001,18,20140308 0600+018h
Chicago_OHare_IL,sp,101110.70000000001,18,20140308 0600+018h
Cincinnati_OH,sp,101106.45168000001,18,20140308 0600+018h
Philadelphia_PA,sp,101096.3,18,20140308 0600+018h
Baltimore_Washington_MD,2t,250.37,18,20140308 0600+018h
Chicago_OHare_IL,2t,250.38,18,20140308 0600+018h
Cincinnati_OH,2t,250.37,18,20140308 0600+018h
Philadelphia_PA,2t,250.37,18,20140308 0600+018h
Baltimore_Washington_MD,2r,100.0,18,20140308 0600+018h
Chicago_OHare_IL,2r,99.9,18,20140308 0600+018h
Cincinnati_OH,2r,99.96552,18,20140308 0600+018h
Philadelphia_PA,2r,100.0,18,20140308 0600+018h
Baltimore_Washington_MD,10u,-2.7272368000000005,18,20140308 0600+018h
Chicago_OHare_IL,10u,-1.8354703999999993,18,20140308 0600+018h
Cincinnati_OH,10u,-2.1062080000000014,18,20140308 0600+018h
Philadelphia_PA,10u,-2.866393199999999,18,20140308 0600+018h
Baltimore_Washington_MD,10v,-5.012072399999999,18,20140308 0600+018h
Chicago_OHare_IL,10v,-5.3386324,18,20140308 0600+018h
Cincinnati_OH,10v,-5.246896,18,20140308 0600+018h
Philadelphia_PA,10v,-4.9345356,18,20140308 0600+018h
