operating_date,target_time_local,target_time_utc,local_utc_offset,dst_fold,calendar_hour,day_of_week,month,year,weekend_indicator,holiday_indicator,expected_hours_for_operating_date,actual_load_mw,actual_load_available,actual_missing_reason,pjm_forecast_mw,pjm_forecast_available,pjm_missing_reason,selected_vintage_id,selected_evaluated_at_utc,vintage_age_hours,forecast_origin_utc,dst_indicator,load_information_cutoff_utc,forecast_horizon_hours,load_origin_minus_1h_source_utc,load_origin_minus_1h,load_origin_minus_1h_available,load_origin_minus_1h_missing_reason,load_same_hour_1d_source_utc,load_same_hour_1d,load_same_hour_1d_available,load_same_hour_1d_missing_reason,load_same_hour_2d_source_utc,load_same_hour_2d,load_same_hour_2d_available,load_same_hour_2d_missing_reason,load_same_hour_7d_source_utc,load_same_hour_7d,load_same_hour_7d_available,load_same_hour_7d_missing_reason,load_same_hour_14d_source_utc,load_same_hour_14d,load_same_hour_14d_available,load_same_hour_14d_missing_reason,previous_available_daily_operating_date,previous_available_daily_peak,previous_available_daily_mean,previous_available_daily_peak_available,previous_available_daily_peak_missing_reason,previous_available_daily_mean_available,previous_available_daily_mean_missing_reason,valid_time_utc,pjm_wind_chill_celsius,pjm_heating_degree_celsius,pjm_temp_ramp_3h_celsius,pjm_temp_ramp_6h_celsius,pjm_temp_1h_ago_celsius,pjm_temp_2h_ago_celsius,pjm_cold_duration_hours,pjm_temperature_2m_celsius,pjm_relative_humidity_2m_percent,pjm_wind_speed_10m_mps,pjm_surface_pressure_hpa
2014-01-07,2014-01-07 00:00:00-05:00,2014-01-07 05:00:00+00:00,-5.0,0,0,1,1,2014,0,0,24,119951.159,True,NONE,115557.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,12.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 05:00:00+00:00,85504.657,True,NONE,2014-01-05 05:00:00+00:00,93565.922,True,NONE,2013-12-31 05:00:00+00:00,89324.738,True,NONE,2013-12-24 05:00:00+00:00,82902.641,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 05:00:00+00:00,-43.594670408235345,49.67272066666664,0.1511396666666851,0.30227933333334356,-31.82386033333333,-31.974999999999987,6.0,-31.672720666666642,97.99948,4.25577960932956,1026.6013952533333
2014-01-07,2014-01-07 01:00:00-05:00,2014-01-07 06:00:00+00:00,-5.0,0,1,1,1,2014,0,0,24,119189.921,True,NONE,114166.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,13.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 06:00:00+00:00,83522.058,True,NONE,2014-01-05 06:00:00+00:00,90837.982,True,NONE,2013-12-31 06:00:00+00:00,86671.582,True,NONE,2013-12-24 06:00:00+00:00,79785.569,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 06:00:00+00:00,-43.55015768396419,49.52158099999998,0.15113966666666023,0.30227933333334533,-31.672720666666642,-31.82386033333333,7.0,-31.521580999999983,97.83276000000001,4.359196959777167,1026.826
2014-01-07,2014-01-07 02:00:00-05:00,2014-01-07 07:00:00+00:00,-5.0,0,2,1,1,2014,0,0,24,119275.233,True,NONE,114101.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,14.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 07:00:00+00:00,82637.689,True,NONE,2014-01-05 07:00:00+00:00,89143.401,True,NONE,2013-12-31 07:00:00+00:00,85447.495,True,NONE,2013-12-24 07:00:00+00:00,78490.182,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 07:00:00+00:00,-43.813918578533944,49.43105399999998,0.0905269999999998,0.24166666666666003,-31.521580999999983,-31.672720666666642,8.0,-31.431053999999982,97.82500900000001,4.643194464864536,1027.0570104166668
2014-01-07,2014-01-07 03:00:00-05:00,2014-01-07 08:00:00+00:00,-5.0,0,3,1,1,2014,0,0,24,120128.948,True,NONE,114977.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,15.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 08:00:00+00:00,83287.857,True,NONE,2014-01-05 08:00:00+00:00,88219.044,True,NONE,2013-12-31 08:00:00+00:00,85370.863,True,NONE,2013-12-24 08:00:00+00:00,78423.572,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 08:00:00+00:00,-44.06842322630885,49.340526999999966,0.09052700000001845,0.18105400000001826,-31.431053999999982,-31.521580999999983,9.0,-31.340526999999966,97.817258,4.9359210029281675,1027.2880208333331
2014-01-07,2014-01-07 04:00:00-05:00,2014-01-07 09:00:00+00:00,-5.0,0,4,1,1,2014,0,0,24,122347.834,True,NONE,118228.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,16.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 09:00:00+00:00,85374.475,True,NONE,2014-01-05 09:00:00+00:00,88137.311,True,NONE,2013-12-31 09:00:00+00:00,86747.602,True,NONE,2013-12-24 09:00:00+00:00,80228.392,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 09:00:00+00:00,-44.31243948369738,49.249999999999964,0.09052700000000069,0.18105400000001914,-31.340526999999966,-31.431053999999982,10.0,-31.249999999999964,97.809507,5.2359125733470915,1027.51903125
2014-01-07,2014-01-07 05:00:00-05:00,2014-01-07 10:00:00+00:00,-5.0,0,5,1,1,2014,0,0,24,126911.066,True,NONE,123647.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,17.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 10:00:00+00:00,90889.688,True,NONE,2014-01-05 10:00:00+00:00,89157.683,True,NONE,2013-12-31 10:00:00+00:00,90810.629,True,NONE,2013-12-24 10:00:00+00:00,83978.892,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 10:00:00+00:00,-44.310812411299956,49.17227556666664,0.0777244333333238,0.16825143333332448,-31.249999999999964,-31.340526999999966,11.0,-31.17227556666664,97.85276833333333,5.319190958590578,1027.5888384866666
2014-01-07,2014-01-07 06:00:00-05:00,2014-01-07 11:00:00+00:00,-5.0,0,6,1,1,2014,0,0,24,133606.209,True,NONE,131991.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,18.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 11:00:00+00:00,99324.883,True,NONE,2014-01-05 11:00:00+00:00,91258.336,True,NONE,2013-12-31 11:00:00+00:00,96628.753,True,NONE,2013-12-24 11:00:00+00:00,89718.014,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 11:00:00+00:00,-44.30793563970085,49.09455113333331,0.07772443333332912,0.15544886666665292,-31.17227556666664,-31.249999999999964,12.0,-31.09455113333331,97.89602966666666,5.4026937068997665,1027.6586457233334
2014-01-07,2014-01-07 07:00:00-05:00,2014-01-07 12:00:00+00:00,-5.0,0,7,1,1,2014,0,0,24,137997.87,True,NONE,137043.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,19.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 12:00:00+00:00,105683.549,True,NONE,2014-01-05 12:00:00+00:00,93885.063,True,NONE,2013-12-31 12:00:00+00:00,101578.72,True,NONE,2013-12-24 12:00:00+00:00,94980.37,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 12:00:00+00:00,-44.303827275295845,49.01682669999999,0.07772443333332202,0.15544886666665114,-31.09455113333331,-31.17227556666664,13.0,-31.01682669999999,97.939291,5.486410466610131,1027.7284529600001
2014-01-07,2014-01-07 08:00:00-05:00,2014-01-07 13:00:00+00:00,-5.0,0,8,1,1,2014,0,0,24,137545.961,True,NONE,140551.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,20.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 13:00:00+00:00,107239.28,True,NONE,2014-01-05 13:00:00+00:00,96034.405,True,NONE,2013-12-31 13:00:00+00:00,103278.105,True,NONE,2013-12-24 13:00:00+00:00,97843.778,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 13:00:00+00:00,-44.324733800674316,48.91194066666665,0.10488603333333746,0.18261046666665948,-31.01682669999999,-31.09455113333331,14.0,-30.911940666666652,97.93999400000001,5.625755245524752,1027.81979671
2014-01-07,2014-01-07 09:00:00-05:00,2014-01-07 14:00:00+00:00,-5.0,0,9,1,1,2014,0,0,24,136586.875,True,NONE,138690.0,True,NONE,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,17.0,2014-01-06 17:00:00+00:00,0,2014-01-06 16:00:00+00:00,21.0,2014-01-06 16:00:00+00:00,111981.587,True,NONE,2014-01-06 14:00:00+00:00,108904.523,True,NONE,2014-01-05 14:00:00+00:00,97815.048,True,NONE,2013-12-31 14:00:00+00:00,103778.091,True,NONE,2013-12-24 14:00:00+00:00,99115.775,True,NONE,2014-01-06,131141.653,109061.06470833332,True,NONE,True,NONE,2014-01-07 14:00:00+00:00,-44.343267971850445,48.8070546333333,0.10488603333334989,0.20977206666668735,-30.911940666666652,-31.01682669999999,15.0,-30.8070546333333,97.940697,5.766336308874155,1027.9111404599998
