operating_day_pjm,initialization_utc,initialization_date,cycle_hour_utc
2014-01-01,2013-12-31 06:00:00+00:00,2013-12-31,6
2014-01-02,2014-01-01 06:00:00+00:00,2014-01-01,6
2014-01-03,2014-01-02 06:00:00+00:00,2014-01-02,6
2014-01-04,2014-01-03 06:00:00+00:00,2014-01-03,6
2014-01-05,2014-01-04 06:00:00+00:00,2014-01-04,6
2014-01-06,2014-01-05 06:00:00+00:00,2014-01-05,6
2014-01-07,2014-01-06 06:00:00+00:00,2014-01-06,6
2014-01-08,2014-01-07 06:00:00+00:00,2014-01-07,6
2014-01-09,2014-01-08 06:00:00+00:00,2014-01-08,6
2014-01-10,2014-01-09 06:00:00+00:00,2014-01-09,6
2014-01-11,2014-01-10 06:00:00+00:00,2014-01-10,6
2014-01-12,2014-01-11 06:00:00+00:00,2014-01-11,6
2014-01-13,2014-01-12 06:00:00+00:00,2014-01-12,6
2014-01-14,2014-01-13 06:00:00+00:00,2014-01-13,6
2014-01-15,2014-01-14 06:00:00+00:00,2014-01-14,6
2014-01-16,2014-01-15 06:00:00+00:00,2014-01-15,6
2014-01-17,2014-01-16 06:00:00+00:00,2014-01-16,6
2014-01-18,2014-01-17 06:00:00+00:00,2014-01-17,6
2014-01-19,2014-01-18 06:00:00+00:00,2014-01-18,6
2014-01-20,2014-01-19 06:00:00+00:00,2014-01-19,6
2014-01-21,2014-01-20 06:00:00+00:00,2014-01-20,6
2014-01-22,2014-01-21 06:00:00+00:00,2014-01-21,6
2014-01-23,2014-01-22 06:00:00+00:00,2014-01-22,6
2014-01-24,2014-01-23 06:00:00+00:00,2014-01-23,6
2014-01-25,2014-01-24 06:00:00+00:00,2014-01-24,6
2014-01-26,2014-01-25 06:00:00+00:00,2014-01-25,6
2014-01-27,2014-01-26 06:00:00+00:00,2014-01-26,6
2014-01-28,2014-01-27 06:00:00+00:00,2014-01-27,6
2014-01-29,2014-01-28 06:00:00+00:00,2014-01-28,6
2014-01-30,2014-01-29 06:00:00+00:00,2014-01-29,6
2014-01-31,2014-01-30 06:00:00+00:00,2014-01-30,6
2014-02-01,2014-01-31 06:00:00+00:00,2014-01-31,6
2014-02-02,2014-02-01 06:00:00+00:00,2014-02-01,6
2014-02-03,2014-02-02 06:00:00+00:00,2014-02-02,6
2014-02-04,2014-02-03 06:00:00+00:00,2014-02-03,6
2014-02-05,2014-02-04 06:00:00+00:00,2014-02-04,6
2014-02-06,2014-02-05 06:00:00+00:00,2014-02-05,6
2014-02-07,2014-02-06 06:00:00+00:00,2014-02-06,6
2014-02-08,2014-02-07 06:00:00+00:00,2014-02-07,6
2014-02-09,2014-02-08 06:00:00+00:00,2014-02-08,6
2014-02-10,2014-02-09 06:00:00+00:00,2014-02-09,6
2014-02-11,2014-02-10 06:00:00+00:00,2014-02-10,6
2014-02-12,2014-02-11 06:00:00+00:00,2014-02-11,6
2014-02-13,2014-02-12 06:00:00+00:00,2014-02-12,6
2014-02-14,2014-02-13 06:00:00+00:00,2014-02-13,6
2014-02-15,2014-02-14 06:00:00+00:00,2014-02-14,6
